"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Fritz-Heeb-Weg 5","","5","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Accu","","60","","","","","","","","","","","","","","","","","ph060","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/accu.jsp?pid=accu","194","60","5","0","0","0","0","POINT (2683161 1252143.8)"
"","Leutschenbachstrasse 37","","4","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Airgate","","10000450","","","","","","","","","","","","","","","","","ph10000450","","","","","","","","","","","","","","171","10000450","4","0","12","1","0","POINT (2684095.5 1252177.2)"
"","Bachwiesenstrasse 141","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Albisriederdörfli","","10000394","","","","","","","","","","","","","","","","","ph10000394","","","","","","","","","","","","","","26","10000394","1","0","0","0","0","POINT (2679026.8 1247771)"
"","Badenerstrasse 380c","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Albisriederplatz","","1411","","","","","","","","","","","","","","","","","ph1411","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/albisriederplatz.jsp?pid=albisriederplatz","67","1411","2","1","0","1","0","POINT (2680764.2 1248167.6)"
"","Ueberlandstrasse 441","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Aldi","","10000515","","","","","","","","","","","","","","","","","ph10000515","","","","","","","","","","","","","","58","10000515","2","0","0","0","0","POINT (2687063.2 1251186)"
"","Schärenmoosstrasse 77a","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Aldi Seebach","","10000488","","","","","","","","","","","","","","","","","ph10000488","","","","","","","","","","","","","","76","10000488","1","0","0","1","0","POINT (2684356.2 1252704.9)"
"","Luggwegstrasse 107a","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Altstetten-Luggweg","","10000496","","","","","","","","","","","","","","","","","ph10000496","","","","","","","","","","","","","","44","10000496","0","0","0","0","0","POINT (2679439.8 1248779.1)"
"","Albisriederstrasse 348","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","A-Park","","10000495","","","","","","","","","","","","","","","","","ph10000495","","","","","","","","","","","","","","74","10000495","3","2","0","0","0","POINT (2679133.5 1247728)"
"","Badenerstrasse 565b","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Atrium 565","","10000526","","","","","","","","","","","","","","","","","ph10000526","","","","","","","","","","","","","","18","10000526","2","0","0","0","0","POINT (2679963 1248644.4)"
"","Stadelhoferstrasse 42","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Bellevue-Garage","","10000502","","","","","","","","","","","","","","","","","ph10000502","","","","","","","","","","","","","","20","10000502","0","0","0","0","0","POINT (2683678.2 1246912.6)"
"","Toblerstrasse 55","","4","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Bethanien","","10000521","","","","","","","","","","","","","","","","","ph10000521","","","","","","","","","","","","","","92","10000521","4","0","0","0","0","POINT (2684499 1248324.8)"
"","Ruedi-Walter-Strasse 2","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Binzmühlepark","","10000476","","","","","","","","","","","","","","","","","ph10000476","","","","","","","","","","","","","","27","10000476","2","0","0","0","0","POINT (2683252.8 1252123.6)"
"","Beethovenstrasse 35","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Bleicherweg","","49","","","","","","","","","","","","","","","","","ph049","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/bleicherweg.jsp?pid=bleicherweg","263","49","0","0","13","0","0","POINT (2682865.2 1246860.1)"
"","Limmattalstrasse 400","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Bombach","","10000451","","","","","","","","","","","","","","","","","ph10000451","","","","","","","","","","","","","","21","10000451","0","0","0","0","0","POINT (2678599.5 1251022.1)"
"","Wannerstrasse 6","","4","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Brunaupark","","10000407","","","","","","","","","","","","","","","","","ph10000407","","","","","","","","","","","","","","273","10000407","4","0","0","0","0","POINT (2681633.8 1245795)"
"","Pestalozzistrasse 7","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Caréum","","10000484","","","","","","","","","","","","","","","","","ph10000484","","","","","","","","","","","","","","50","10000484","1","0","0","0","0","POINT (2684234.5 1247696.6)"
"","Sophie-Taeuber-Strasse 4","","7","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Center Eleven","","19","","","","","","","","","","","","","","","","","ph019","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/center_11.jsp?pid=center_11","361","19","7","0","9","2","0","POINT (2683140.2 1251918.1)"
"","Löwenstrasse 19","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Centrum Garage","","10000503","","","","","","","","","","","","","","","","","ph10000503","","","","","","","","","","","","","","34","10000503","0","0","0","4","0","POINT (2682816.8 1247594.5)"
"","Berninastrasse 45","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","City Bernina","","10000401","","","","","","","","","","","","","","","","","ph10000401","","","","","","","","","","","","","","51","10000401","3","0","0","0","0","POINT (2683629.8 1250909.5)"
"","Gessnerallee 14","","12","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","City Parking","","58","","","","","","","","","","","","","","","","","ph058","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/cp.jsp?pid=cp","607","58","12","4","24","0","0","POINT (2682837.2 1247784.5)"
"","Pfingstweidstrasse 51","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","City West","","10000519","","","","","","","","","","","","","","","","","ph10000519","","","","","","","","","","","","","","67","10000519","3","0","0","0","0","POINT (2681251.8 1249198.4)"
"","Affolternstrasse 56","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Cityport","","20","","","","","","","","","","","","","","","","","ph020","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/cityport.jsp?pid=cityport","151","20","2","2","6","0","0","POINT (2683190 1251701.9)"
"","Frankentalerstrasse 20b","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Frankenthal ","","10000530","","","","","","","","","","","","","","","","","ph10000530","","","","","","","","","","","","","","18","10000530","1","0","0","0","0","POINT (2678725.8 1251124.4)"
"","Kalkbreitestrasse 117","","3","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Goldbrunnenplatz","","10000424","","","","","","","","","","","","","","","","","ph10000424","","","","","","","","","","","","","","88","10000424","3","0","0","0","0","POINT (2681336 1247270.8)"
"","Nansenstrasse 16","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Krone","","10000449","","","","","","","","","","","","","","","","","ph10000449","","","","","","","","","","","","","","30","10000449","0","0","0","1","0","POINT (2683499.2 1251715.8)"
"","Leimbachstrasse 215c","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Leimbach","","10000494","","","","","","","","","","","","","","","","","ph10000494","","","","","","","","","","","","","","24","10000494","0","0","0","0","0","POINT (2681338.2 1242269.4)"
"","Zollikerstrasse 3","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Neumünster","","10000493","","","","","","","","","","","","","","","","","ph10000493","","","","","","","","","","","","","","33","10000493","0","0","0","0","0","POINT (2684308.5 1246507.5)"
"","Scheffelstrasse 14","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Nordbrücke","","10000460","","","","","","","","","","","","","","","","","ph10000460","","","","","","","","","","","","","","29","10000460","1","0","0","0","0","POINT (2682368.5 1249832.4)"
"","Am Suteracher 14","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Suteracher","","10000487","","","","","","","","","","","","","","","","","ph10000487","","","","","","","","","","","","","","10","10000487","0","0","0","0","0","POINT (2677999.8 1249285.8)"
"","Seefeldstrasse 199","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Tiefenbrunnen","","10000466","","","","","","","","","","","","","","","","","ph10000466","","","","","","","","","","","","","","20","10000466","0","0","0","0","0","POINT (2684650.8 1245318.1)"
"","Loorenstrasse 40","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Witikon","","10000490","","","","","","","","","","","","","","","","","ph10000490","","","","","","","","","","","","","","12","10000490","0","0","0","0","0","POINT (2687349.5 1246159.2)"
"","Alte Kalchbühlstrasse 15","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Coop Wollishofen","","10000465","","","","","","","","","","","","","","","","","ph10000465","","","","","","","","","","","","","","44","10000465","2","0","0","0","0","POINT (2682517.8 1243816.2)"
"","Bienenstrasse 9","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Crowne Plaza","","61","","","","","","","","","","","","","","","","","ph061","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/crowne_plaza.jsp?pid=crowne_plaza","310","61","0","0","20","0","0","POINT (2680667 1248362)"
"","Altstetterstrasse 332","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Denner Bockhorn","","10000470","","","","","","","","","","","","","","","","","ph10000470","","","","","","","","","","","","","","18","10000470","0","0","0","0","0","POINT (2678951.8 1247754.9)"
"","Forchstrasse 340","","6","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Der Balgrist","","10000525","","","","","","","","","","","","","","","","","ph10000525","","","","","","","","","","","","","","56","10000525","6","2","0","0","0","POINT (2685908.5 1245339.4)"
"","Kurhausstrasse 69","","5","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Dolder Grand Hotel","","10000497","","","","","","","","","","","","","","","","","ph10000497","","","","","","","","","","","","","","237","10000497","5","0","18","0","0","POINT (2685770.5 1247481.1)"
"","Schwamendingenstrasse 31","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Dorflinde","","43","","","","","","","","","","","","","","","","","ph043","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/dorflinde.jsp?pid=dorflinde","48","43","0","0","0","0","0","POINT (2683788 1251345.5)"
"","Rämistrasse 101","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","ETH Hauptgebäude","","10000402","","","","","","","","","","","","","","","","","ph10000402","","","","","","","","","","","","","","139","10000402","2","0","0","0","0","POINT (2683811.2 1247824.1)"
"","Hönggerbergring 20","","5","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","ETH Hönggerberg","","10000433","","","","","","","","","","","","","","","","","ph10000433","","","","","","","","","","","","","","380","10000433","5","0","20","0","2","POINT (2680562.2 1251411.6)"
