"objectid","poi_id","kategorie","name","anzahl_pp","markierung","sicherheit","dach","signalisation","bemerkung","gebuehr","oeffentlicher_grund","geometry"
"9638","vap9638","Zweirad","Velo","15","","","","","","0","öffentlicher Grund","POINT (2686688.5 1245916.8)"
"104873","vap104873","Zweirad","Velo","21","","","","","","0","öffentlicher Grund","POINT (2679599.2 1249587.6)"
"104776","vap104776","Zweirad","Velo","4","","","","","","0","öffentlicher Grund","POINT (2680074.2 1246963.5)"
"104617","vap104617","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2682150.8 1246395.1)"
"104551","vap104551","Zweirad","Velo","54","","","","","","0","öffentlicher Grund","POINT (2681877.8 1248192.2)"
"104498","vap104498","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2679672.5 1249096.9)"
"3852","vap3852","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682823.2 1246792.1)"
"2897","vap2897","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2680080 1253083.4)"
"2896","vap2896","Zweirad","Velo","50","","","","","","0","öffentlicher Grund","POINT (2680127.2 1253116.6)"
"2895","vap2895","Zweirad","Velo","25","","","","","","0","öffentlicher Grund","POINT (2680131.8 1253142.1)"
"2891","vap2891","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2680066.5 1253205.4)"
"2887","vap2887","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2680031.2 1253137.1)"
"105007","vap105007","Zweirad","Velo","32","","","","","überdacht","0","öffentlicher Grund","POINT (2679983.5 1247259.5)"
"104958","vap104958","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2682762 1251581.4)"
"104898","vap104898","Zweirad","Velo","35","","","","","","0","öffentlicher Grund","POINT (2683855.8 1248120.4)"
"104684","vap104684","Zweirad","Velo","18","","","","","","0","öffentlicher Grund","POINT (2681538.8 1243475.5)"
"104664","vap104664","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2682490.5 1244312.1)"
"104619","vap104619","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2682748.8 1246116.2)"
"104557","vap104557","Zweirad","Velo","4","","","","","","0","öffentlicher Grund","POINT (2682506 1247143.4)"
"104552","vap104552","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681778 1248049.2)"
"104485","vap104485","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2685099.5 1251890)"
"104333","vap104333","Zweirad","Velo","5","","","","","","0","öffentlicher Grund","POINT (2681785.8 1249708.8)"
"2898","vap2898","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2680081.2 1253104.6)"
"104585","vap104585","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2684652.8 1245227.5)"
"104537","vap104537","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2682596.5 1248467.4)"
"8013","vap8013","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2679943.5 1252851.2)"
"6733","vap6733","Zweirad","Velo","18","","","","","","0","öffentlicher Grund","POINT (2683175.8 1251689.2)"
"104856","vap104856","Zweirad","Velo","60","","","","","Provisorisch bis ca. 2021","0","öffentlicher Grund","POINT (2683325 1251832.2)"
"104818","vap104818","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2679044.2 1248648.1)"
"104755","vap104755","Zweirad","Velo","18","","","","","","0","öffentlicher Grund","POINT (2681281 1247759)"
"104586","vap104586","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2684655.5 1245402.8)"
"104408","vap104408","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2680687 1246102.2)"
"104379","vap104379","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2687095.2 1250429.9)"
"104377","vap104377","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2687051 1250409.1)"
"11204","vap11204","Zweirad","Velo","870","","","","","genauer Standort immer wieder leicht - um wenige Meter - verschoben","0","öffentlicher Grund","POINT (2682875.2 1247980.4)"
"11203","vap11203","Zweirad","Velo","279","","","","","","0","öffentlicher Grund","POINT (2682958.8 1248039.1)"
"9931","vap9931","Zweirad","Velo","1600","","","","","Velostation Europaplatz","gebührenpflichtig","öffentlicher Grund","POINT (2682867.8 1248037.5)"
"8010","vap8010","Zweirad","Velo","7","","","","","","0","öffentlicher Grund","POINT (2680546 1252570)"
"104902","vap104902","Zweirad","Velo","11","","","","","","0","öffentlicher Grund","POINT (2685571.2 1250990.2)"
"104854","vap104854","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2678755.8 1249098.8)"
"104598","vap104598","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2685753.8 1245502.1)"
"9299","vap9299","Zweirad","Velo","18","","","","","","0","öffentlicher Grund","POINT (2683596.5 1249139.5)"
"9283","vap9283","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2680895 1251561.2)"
"2570","vap2570","Zweirad","Velo","36","","","","","","0","öffentlicher Grund","POINT (2682647 1247418)"
"2569","vap2569","Zweirad","Velo","36","","","","","","0","öffentlicher Grund","POINT (2682664.5 1247407.9)"
"2568","vap2568","Zweirad","Velo","100","","","","","","0","öffentlicher Grund","POINT (2682945.5 1248215.1)"
"105049","vap105049","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2684082.8 1247915.4)"
"104999","vap104999","Zweirad","Velo","9","","","","","","0","öffentlicher Grund","POINT (2681622.2 1252074)"
"104981","vap104981","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2680376 1252481)"
"104980","vap104980","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2680388.8 1252460.5)"
"104973","vap104973","Zweirad","Velo","40","","","","","","0","öffentlicher Grund","POINT (2684288.2 1252022)"
"104574","vap104574","Zweirad","Velo","30","","","","","","0","öffentlicher Grund","POINT (2683966 1245758.8)"
"12163","vap12163","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682555.8 1246860.5)"
"105041","vap105041","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2685815 1245107.1)"
"105029","vap105029","Zweirad","Velo","20","","","","","P2 im Parkhaus Letzipark","0","öffentlicher Grund","POINT (2679942.2 1249024)"
"105008","vap105008","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2679882.2 1247265.4)"
"104647","vap104647","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2682380.5 1243283.4)"
"104616","vap104616","Zweirad","Velo","9","","","","","","0","öffentlicher Grund","POINT (2682094.5 1246519)"
"104542","vap104542","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682529.2 1247221.9)"
"14082","vap14082","Zweirad","Velo","48","","","","","Bahnhof Affoltern (Mietboxen)","gebührenpflichtig","öffentlicher Grund","POINT (2680746.8 1252771.6)"
"14081","vap14081","Zweirad","Velo","88","","","","","Bahnhof Oerlikon (Quartierverbindung, Velostation)","gebührenpflichtig","öffentlicher Grund","POINT (2683406.5 1251809.8)"
"104322","vap104322","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2679853 1249055.1)"
"104389","vap104389","Zweirad","Velo","300","","","","","Bahnhof Stettbach, durch Dübendorf","gebührenpflichtig","öffentlicher Grund","POINT (2687417.2 1250313.1)"
"104388","vap104388","Zweirad","Velo","90","","","","","","0","öffentlicher Grund","POINT (2687428.2 1250310.4)"
"104386","vap104386","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2687295.5 1250297.5)"
