NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fixed_geometry,district_id
8591225,3121,,,"Zürich, Genossenschaftsstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"781,787,N78",2684804,1252206,POINT (47.41520320576222 8.562372713955002),12
8503004,13041,,,Zürich Tiefenbrunnen,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,"S6,SN6,SN7,S16",2684844,1244981,POINT (47.3502213859498 8.561532755085674),8
8591343,2326,,,"Zürich, Schörlistrasse",Zürich,Tram,&nbsp;,2,,110,5,Tram,"7,9",2684932,1251178,POINT (47.40594166701226 8.563873299053554),12
8591116,716,,,"Zürich, Dunkelhölzli",Zürich,Bus,&nbsp;,0,,110,2,Bus,"35,67,78,N13",2677876,1249185,POINT (47.38888998330783 8.470053867076638),9
8591333,2152,,,"Zürich, Salzweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,"35,67,78,N13",2678007,1249055,POINT (47.38770533776859 8.471766030643408),9
8596008,6998,,,"Zürich, Hermetschloo",Zürich,,&nbsp;,0,,,99,,,2678140,1249764,POINT (47.39406591730646 8.473651147109971),9
8591284,1698,,,"Zürich, Neeserweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2678225,1249379,POINT (47.39059336108897 8.47470958425124),9
8591155,944,,,"Zürich, Geeringstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,89,485,N4",2678622,1252036,POINT (47.41444152684199 8.480434372208665),10
8576242,1045,,,"Zürich, Grünwald",Zürich,Bus,&nbsp;,0,,110,2,Bus,485,2678824,1252368,POINT (47.41740316713042 8.483169285760649),10
8591158,979,,,"Zürich, Giblenstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,N4",2679044,1251629,POINT (47.41073071189214 8.485953604699361),10
8591214,1320,,,"Zürich, In der Ey",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"33,80,N14",2679534,1247022,POINT (47.36923910660852 8.491626260699885),9
8591203,1252,,,"Zürich, Hubertus",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"3,33,83,89,N14",2680089,1247935,POINT (47.37738290184243 8.499136711904491),3
8591351,2302,,,"Zürich, Schweighof",Zürich,Bus,&nbsp;,0,,110,2,Bus,"73,89,N5",2680377,1246537,POINT (47.3647750068977 8.502698847144208),3
8591334,2142,,,"Zürich, SBB-Werkstätte",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N2",2680395,1248960,POINT (47.3865638805726 8.503372310163307),4
8591353,2306,,,"Zürich, Schwert",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"13,38,46,N4,N8",2680487,1250426,POINT (47.39973693398203 8.504854389393705),10
8591374,2449,,,"Zürich, Sportweg",Zürich,Tram,&nbsp;,2,,110,5,Tram,4,2680574,1249525,POINT (47.39162327454962 8.505844443297923),5
8591054,3021,,,"Zürich, Bahnhof Affoltern",Zürich,Bus,&nbsp;,0,,110,2,Bus,"37,61,62,N1",2680648,1252813,POINT (47.42118429861538 8.507417576915612),11
8591118,767,,,"Zürich, Einfangstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"32,61,62,N1",2681072,1252209,POINT (47.41570027720258 8.512926389807589),11
8502572,1012,,,"Zürich, Goldbrunnenplatz",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"9,14,32,67,215,220,235,236,245,350,N5",2681214,1247159,POINT (47.37026631292251 8.51389094171603),3
8591089,508,,,"Zürich, Bleulerstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,77,2685609,1244653,POINT (47.34717265252468 8.571593427222412),8
8591114,711,,,"Zürich, Dreiwiesen",Zürich,Bus,&nbsp;,0,,110,2,Bus,751,2685864,1248176,POINT (47.3788230367071 8.575643210671355),7
8591211,1311,,,"Zürich, Im Klösterli",Zürich,Bus,&nbsp;,0,,110,2,Bus,39,2685952,1248823,POINT (47.38463022061678 8.576932626684755),7
