bustop_id,busline_name
8591225,781
8591225,787
8591225,N78
8503004,S6
8503004,SN6
8503004,SN7
8503004,S16
8591343,7
8591343,9
8591116,35
8591116,67
8591116,78
8591116,N13
8591333,35
8591333,67
8591333,78
8591333,N13
8596008,
8591284,35
8591155,46
8591155,89
8591155,485
8591155,N4
8576242,485
8591158,46
8591158,N4
8591214,33
8591214,80
8591214,N14
8591203,3
8591203,33
8591203,83
8591203,89
8591203,N14
8591351,73
8591351,89
8591351,N5
8591334,31
8591334,N2
8591353,13
8591353,38
8591353,46
8591353,N4
8591353,N8
8591374,4
8591054,37
8591054,61
8591054,62
8591054,N1
8591118,32
8591118,61
8591118,62
8591118,N1
8502572,9
8502572,14
8502572,32
8502572,67
8502572,215
8502572,220
8502572,235
8502572,236
8502572,245
8502572,350
8502572,N5
8591089,77
8591114,751
8591211,39
8591107,31
8591107,91
8591107,701
8591107,703
8591107,704
8591107,N16
8591107,N19
8591072,31
8591072,N16
8591072,N19
8591194,9
8591432,91
8594239,4
8594239,8
8594239,33
8594239,72
8594239,83
8594239,N5
8594239,N8
8591154,70
8591154,N12
8591418,62
8591418,N1
8503011,S2
8503011,S8
8503011,SN8
8503011,S24
8591110,4
8591110,6
8591110,13
8591110,N1
8591110,N4
8591110,N5
8591110,N7
8591110,N13
8591415,5
8591415,10
8591415,13
8591415,66
8591415,72
8591415,N12
8591427,9
8591427,14
8591059,5
8591059,10
8591059,13
8591059,200
8591059,210
8591059,444
8591059,445
8591059,N12
8591076,40
8591241,161
8591241,165
8591241,N15
8591326,32
8591326,33
8503681,3730
8591191,75
8591191,N6
8503000,SN1
8503000,S2
8503000,S3
8503000,S5
8503000,SN5
8503000,S6
8503000,SN6
8503000,S7
8503000,SN7
8503000,S8
8503000,SN8
8503000,S9
8503000,SN9
8503000,S11
8503000,S12
8503000,S14
8503000,S15
8503000,S16
8503000,S19
8503000,S21
8503000,S24
8503000,S25
8503000,S42
8503088,S4
8503088,SN4
8503088,S10
8591093,2
8591093,8
8591093,9
8591093,11
8591071,11
8591071,14
8587349,4
8587349,6
8587349,11
8587349,13
8587349,14
8587349,46
8591187,40
8591248,75
8591248,N6
8591339,33
8591229,9
8591229,10
8591229,N11
8591173,9
8591173,10
