objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
9638,vap9638,Zweirad,Velo,15,,,,,,0,öffentlicher Grund,POINT (2686688.5 1245916.8),POINT (47.3583973863783 8.586122302764364),7
104873,vap104873,Zweirad,Velo,21,,,,,,0,öffentlicher Grund,POINT (2679599.2 1249587.6),POINT (47.39230477195767 8.492945714674441),9
104776,vap104776,Zweirad,Velo,4,,,,,,0,öffentlicher Grund,POINT (2680074.2 1246963.5),POINT (47.36864757439663 8.498766980807359),3
104617,vap104617,Zweirad,Velo,8,,,,,,0,öffentlicher Grund,POINT (2682150.8 1246395.1),POINT (47.36328012863549 8.526152348684578),2
104551,vap104551,Zweirad,Velo,54,,,,,,0,öffentlicher Grund,POINT (2681877.8 1248192.2),POINT (47.37947615002224 8.522867471659778),4
104498,vap104498,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2679672.5 1249096.9),POINT (47.38788284937465 8.493829093224083),9
3852,vap3852,Zweirad,Velo,16,,,,,,0,öffentlicher Grund,POINT (2682823.2 1246792.1),POINT (47.36676635543086 8.535125977883935),2
2897,vap2897,Zweirad,Velo,14,,,,,,0,öffentlicher Grund,POINT (2680080 1253083.4),POINT (47.42368541837745 8.499939500538344),11
2896,vap2896,Zweirad,Velo,50,,,,,,0,öffentlicher Grund,POINT (2680127.2 1253116.6),POINT (47.42397825278019 8.500570928613671),11
2895,vap2895,Zweirad,Velo,25,,,,,,0,öffentlicher Grund,POINT (2680131.8 1253142.1),POINT (47.42420702187199 8.500636459590693),11
2891,vap2891,Zweirad,Velo,12,,,,,,0,öffentlicher Grund,POINT (2680066.5 1253205.4),POINT (47.42478424219158 8.499782467303618),11
2887,vap2887,Zweirad,Velo,12,,,,,,0,öffentlicher Grund,POINT (2680031.2 1253137.1),POINT (47.42417429241431 8.499302442764227),11
105007,vap105007,Zweirad,Velo,32,,,,,überdacht,0,öffentlicher Grund,POINT (2679983.5 1247259.5),POINT (47.37132064956045 8.497619186084606),9
104958,vap104958,Zweirad,Velo,20,,,,,,0,öffentlicher Grund,POINT (2682762 1251581.4),POINT (47.40984584627066 8.535201836613878),11
104898,vap104898,Zweirad,Velo,35,,,,,,0,öffentlicher Grund,POINT (2683855.8 1248120.4),POINT (47.37858165547096 8.549043638080057),6
104684,vap104684,Zweirad,Velo,18,,,,,,0,öffentlicher Grund,POINT (2681538.8 1243475.5),POINT (47.33709878894697 8.517520257562436),2
104664,vap104664,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2682490.5 1244312.1),POINT (47.34450436137791 8.530265202743196),2
104619,vap104619,Zweirad,Velo,6,,,,,,0,öffentlicher Grund,POINT (2682748.8 1246116.2),POINT (47.36069705647363 8.53401621984084),2
104557,vap104557,Zweirad,Velo,4,,,,,,0,öffentlicher Grund,POINT (2682506 1247143.4),POINT (47.36996552465412 8.530991832061725),1
104552,vap104552,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2681778 1248049.2),POINT (47.37820248997736 8.521519938001777),4
104485,vap104485,Zweirad,Velo,20,,,,,,0,öffentlicher Grund,POINT (2685099.5 1251890),POINT (47.41232322303547 8.566227714797437),12
104333,vap104333,Zweirad,Velo,5,,,,,,0,öffentlicher Grund,POINT (2681785.8 1249708.8),POINT (47.39312691566307 8.521926570132276),10
2898,vap2898,Zweirad,Velo,8,,,,,,0,öffentlicher Grund,POINT (2680081.2 1253104.6),POINT (47.42387593026433 8.499959202195059),11
104585,vap104585,Zweirad,Velo,12,,,,,,0,öffentlicher Grund,POINT (2684652.8 1245227.5),POINT (47.35246283974282 8.559049153009735),8
104537,vap104537,Zweirad,Velo,6,,,,,,0,öffentlicher Grund,POINT (2682596.5 1248467.4),POINT (47.38186142064738 8.532434208205183),5
8013,vap8013,Zweirad,Velo,14,,,,,,0,öffentlicher Grund,POINT (2679943.5 1252851.2),POINT (47.42161376314811 8.498089115731496),11
6733,vap6733,Zweirad,Velo,18,,,,,,0,öffentlicher Grund,POINT (2683175.8 1251689.2),POINT (47.41076318341926 8.540703929690194),11
104856,vap104856,Zweirad,Velo,60,,,,,Provisorisch bis ca. 2021,0,öffentlicher Grund,POINT (2683325 1251832.2),POINT (47.4120303571359 8.542707226177463),11
104818,vap104818,Zweirad,Velo,20,,,,,,0,öffentlicher Grund,POINT (2679044.2 1248648.1),POINT (47.38392228533116 8.485429424310308),9
104755,vap104755,Zweirad,Velo,18,,,,,,0,öffentlicher Grund,POINT (2681281 1247759),POINT (47.37565410109205 8.514886848647244),3
104586,vap104586,Zweirad,Velo,12,,,,,,0,öffentlicher Grund,POINT (2684655.5 1245402.8),POINT (47.35403903536315 8.559118011964982),8
104408,vap104408,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2680687 1246102.2),POINT (47.36082677387914 8.506723945270499),3
104379,vap104379,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2687095.2 1250429.9),POINT (47.39893130617975 8.592383339651516),12
104377,vap104377,Zweirad,Velo,14,,,,,,0,öffentlicher Grund,POINT (2687051 1250409.1),POINT (47.39875009083725 8.591793853314448),12
11204,vap11204,Zweirad,Velo,870,,,,,genauer Standort immer wieder leicht - um wenige Meter - verschoben,0,öffentlicher Grund,POINT (2682875.2 1247980.4),POINT (47.37744665518025 8.536034311709003),4
11203,vap11203,Zweirad,Velo,279,,,,,,0,öffentlicher Grund,POINT (2682958.8 1248039.1),POINT (47.37796404538644 8.537152054440728),4
9931,vap9931,Zweirad,Velo,1600,,,,,Velostation Europaplatz,gebührenpflichtig,öffentlicher Grund,POINT (2682867.8 1248037.5),POINT (47.3779611071789 8.535946908192411),4
8010,vap8010,Zweirad,Velo,7,,,,,,0,öffentlicher Grund,POINT (2680546 1252570),POINT (47.41901141424903 8.506022180775936),11
104902,vap104902,Zweirad,Velo,11,,,,,,0,öffentlicher Grund,POINT (2685571.2 1250990.2),POINT (47.40416998980179 8.572304824915008),12
104854,vap104854,Zweirad,Velo,12,,,,,,0,öffentlicher Grund,POINT (2678755.8 1249098.8),POINT (47.38801016142766 8.481689842849965),9
104598,vap104598,Zweirad,Velo,8,,,,,,0,öffentlicher Grund,POINT (2685753.8 1245502.1),POINT (47.35479011077204 8.573672005331035),8
9299,vap9299,Zweirad,Velo,18,,,,,,0,öffentlicher Grund,POINT (2683596.5 1249139.5),POINT (47.3877797147771 8.545800835140442),6
9283,vap9283,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2680895 1251561.2),POINT (47.40989618076662 8.510463977583132),10
2570,vap2570,Zweirad,Velo,36,,,,,,0,öffentlicher Grund,POINT (2682647 1247418),POINT (47.37241744135676 8.532909103759071),1
2569,vap2569,Zweirad,Velo,36,,,,,,0,öffentlicher Grund,POINT (2682664.5 1247407.9),POINT (47.37232441307449 8.533138916572149),1
105049,vap105049,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2684082.8 1247915.4),POINT (47.37670909099981 8.552010655508177),7
104999,vap104999,Zweirad,Velo,9,,,,,,0,öffentlicher Grund,POINT (2681622.2 1252074),POINT (47.41441820900969 8.52019162949234),11
104981,vap104981,Zweirad,Velo,6,,,,,,0,öffentlicher Grund,POINT (2680376 1252481),POINT (47.41823178514362 8.503753605629271),11
104980,vap104980,Zweirad,Velo,8,,,,,,0,öffentlicher Grund,POINT (2680388.8 1252460.5),POINT (47.41804585971559 8.503919520581896),11
104973,vap104973,Zweirad,Velo,40,,,,,,0,öffentlicher Grund,POINT (2684288.2 1252022),POINT (47.41361468287752 8.555504010106521),11
104574,vap104574,Zweirad,Velo,30,,,,,,0,öffentlicher Grund,POINT (2683966 1245758.8),POINT (47.35732887645967 8.550059812660409),8
12163,vap12163,Zweirad,Velo,16,,,,,,0,öffentlicher Grund,POINT (2682555.8 1246860.5),POINT (47.36741505520421 8.53159892580457),2
105041,vap105041,Zweirad,Velo,10,,,,,,0,öffentlicher Grund,POINT (2685815 1245107.1),POINT (47.35122976436549 8.574406272928988),8
